state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
New Mexico,Grant,7.070067,Rural,0.475,0.421,0.0,100.0,23.2
Missouri,Miller,41.9443,Rural,0.235,0.658,0.001,100.0,23.3
North Carolina,Wilkes,87.73644,Rural,0.133,0.714,0.088,100.0,19.9
Missouri,Platte,254.9476,Not rural,0.639,0.35,0.001,68.8,7.7
Missouri,Buchanan,207.0891,Not rural,0.612,0.372,0.0,67.8,18.6
Alabama,Limestone,184.9456,Not rural,0.21,0.779,0.002,87.1,16.9
Indiana,Henry,124.8171,Rural,0.682,0.254,0.02,100.0,21.9
Nebraska,Polk,11.81295,Rural,0.581,0.384,0.0,100.0,9.7
Ohio,Ottawa,158.4873,Not rural,0.745,0.191,0.016,97.9,14.4
Minnesota,Norman,7.398123,Rural,0.568,0.267,0.103,100.0,22.2
Iowa,Shelby,19.86699,Rural,0.675,0.298,0.004,100.0,16.9
Maryland,Carroll,386.9827,Not rural,0.254,0.494,0.191,86.2,9.0
Iowa,Benton,35.8217,Rural,0.76,0.191,0.003,100.0,14.6
Kentucky,Martin,49.20267,Rural,0.328,0.607,0.012,100.0,20.7
Minnesota,Chisago,137.2067,Rural,0.834,0.114,0.011,100.0,9.3
Kentucky,Owsley,20.53677,Rural,0.105,0.633,0.152,100.0,28.3
Pennsylvania,Bradford,52.43183,Rural,0.459,0.161,0.219,100.0,15.5
West Virginia,Hancock,349.9212,Rural,0.688,0.242,0.037,100.0,17.0
Missouri,Cole,196.3745,Not rural,0.426,0.533,0.0,79.8,24.7
Michigan,Berrien,271.1222,Not rural,0.727,0.212,0.028,93.2,20.7
Pennsylvania,Huntingdon,50.44982,Rural,0.122,0.214,0.488,100.0,17.6
Nebraska,Dawes,5.928855,Rural,0.659,0.286,0.019,100.0,11.6
Virginia,Patrick,36.5666,Rural,0.143,0.618,0.091,100.0,25.3
Michigan,Montmorency,16.9406,Rural,0.817,0.032,0.015,100.0,22.7
Michigan,Oscoda,14.60913,Rural,0.697,0.064,0.015,100.0,33.6
New Mexico,Colfax,3.291666,Rural,0.771,0.111,0.001,100.0,26.8
Illinois,St. Clair,390.417,Not rural,0.659,0.329,0.002,77.2,17.8
Illinois,Washington,24.49532,Rural,0.648,0.305,0.009,100.0,18.0
Pennsylvania,Bedford,47.03707,Rural,0.085,0.248,0.501,100.0,20.4
Arkansas,Scott,11.05561,Rural,0.261,0.548,0.013,100.0,33.0
Kansas,Labette,31.13761,Rural,0.68,0.255,0.0,100.0,20.9
Pennsylvania,Lawrence,240.3847,Not rural,0.599,0.247,0.112,91.7,16.6
Ohio,Harrison,36.10957,Rural,0.492,0.243,0.126,100.0,22.5
North Carolina,Alexander,140.4119,Rural,0.097,0.791,0.054,100.0,19.3
New Jersey,Cape May,379.5146,Rural,0.727,0.199,0.044,100.0,11.0
New Hampshire,Cheshire,108.4039,Not rural,0.158,0.09,0.596,85.5,11.0
Minnesota,Marshall,5.079828,Rural,0.627,0.245,0.061,100.0,17.4
Virginia,King William,65.14902,Rural,0.062,0.843,0.046,100.0,21.0
Colorado,Huerfano,4.334291,Rural,0.738,0.108,0.0,100.0,28.3
Texas,Karnes,19.79934,Rural,0.232,0.748,0.004,100.0,25.2
Tennessee,Chester,60.86732,Rural,0.534,0.453,0.006,100.0,17.3
Illinois,Scott,19.5343,Rural,0.738,0.232,0.009,100.0,14.3
Utah,Millard,1.919834,Rural,0.799,0.106,0.0,100.0,12.0
Utah,Morgan,20.30048,Rural,0.918,0.061,0.0,100.0,2.5
Texas,Kaufman,191.8236,Not rural,0.318,0.67,0.001,93.8,16.2
Arizona,Greenlee,5.145857,Rural,0.651,0.311,0.003,100.0,11.8
Arizona,Maricopa,481.5109,Not rural,0.284,0.695,0.001,75.4,11.9
Michigan,Ogemaw,36.94744,Rural,0.712,0.069,0.029,100.0,21.1
Tennessee,Jackson,37.98455,Rural,0.198,0.713,0.004,100.0,25.1
Illinois,Richland,43.65142,Rural,0.764,0.2,0.0,100.0,15.4
Alabama,Blount,91.60778,Not rural,0.233,0.747,0.001,99.7,21.2
Montana,Liberty,1.393718,Rural,0.668,0.271,0.027,100.0,31.8
Texas,Duval,5.553458,Rural,0.159,0.806,0.017,100.0,30.8
Missouri,Ralls,22.04403,Rural,0.57,0.343,0.002,100.0,16.9
Texas,Johnson,251.9691,Not rural,0.181,0.808,0.001,82.6,12.1
Georgia,Clay,14.61076,Rural,0.108,0.892,0.0,100.0,27.2
Oregon,Grant,1.598351,Rural,0.059,0.3,0.204,100.0,17.6
Oregon,Coos,40.66806,Rural,0.071,0.693,0.03,100.0,16.3
Texas,Franklin,36.72757,Rural,0.211,0.774,0.0,100.0,13.7
New York,Warren,75.74073,Rural,0.574,0.148,0.215,100.0,11.9
Virginia,Madison,43.12642,Rural,0.182,0.509,0.107,100.0,25.7
Oklahoma,Atoka,14.47224,Rural,0.354,0.562,0.004,100.0,24.0
Illinois,Menard,39.07234,Rural,0.789,0.183,0.003,100.0,11.8
Georgia,Bartow,238.4133,Not rural,0.364,0.614,0.003,90.1,18.4
Florida,Lake,406.4182,Not rural,0.116,0.864,0.001,87.0,11.3
Oklahoma,Okmulgee,52.90752,Rural,0.592,0.367,0.0,100.0,24.1
North Dakota,Sheridan,1.376223,Rural,0.602,0.315,0.045,100.0,25.6
Indiana,Fulton,55.42994,Rural,0.744,0.184,0.011,100.0,19.6
Kansas,Johnson,1289.509,Not rural,0.723,0.27,0.001,56.4,4.9
Maryland,Calvert,437.3759,Rural,0.127,0.709,0.103,100.0,6.9
Wisconsin,Washburn,20.93176,Rural,0.754,0.087,0.022,100.0,17.1
Washington,Jefferson,18.29877,Rural,0.185,0.649,0.018,100.0,10.0
Minnesota,Winona,79.51744,Not rural,0.69,0.241,0.024,74.1,12.5
Mississippi,Warren,75.34144,Not rural,0.365,0.619,0.001,93.6,20.1
Missouri,Andrew,41.76534,Not rural,0.442,0.463,0.004,95.3,17.6
Missouri,Montgomery,21.34579,Rural,0.391,0.519,0.002,100.0,28.7
Kansas,Cherokee,32.98348,Rural,0.554,0.402,0.0,100.0,19.6
North Carolina,Halifax,67.38902,Rural,0.332,0.609,0.041,100.0,38.7
New Mexico,Sandoval,40.28361,Not rural,0.811,0.119,0.002,84.8,17.7
Kentucky,Clay,43.30318,Rural,0.323,0.562,0.066,100.0,27.0
Pennsylvania,Clinton,42.55704,Rural,0.224,0.266,0.387,100.0,20.0
Oregon,Linn,56.16829,Not rural,0.372,0.528,0.006,85.0,12.6
Wisconsin,Lafayette,26.38307,Rural,0.716,0.092,0.095,100.0,20.9
Oklahoma,Washington,126.5367,Not rural,0.706,0.274,0.0,78.0,17.8
West Virginia,Preston,52.72081,Rural,0.368,0.287,0.158,100.0,17.7
Wisconsin,Waupaca,69.30901,Rural,0.771,0.107,0.029,100.0,15.8
Texas,Edwards,0.6515974,Rural,0.31,0.69,0.0,100.0,40.2
Oregon,Lake,1.007666,Rural,0.126,0.317,0.203,100.0,29.0
Missouri,Ozark,11.66166,Rural,0.444,0.325,0.001,100.0,24.7
Texas,Waller,111.949,Not rural,0.283,0.69,0.002,99.1,27.6
Alabama,Monroe,19.32008,Rural,0.187,0.795,0.003,100.0,55.4
Vermont,Essex,9.022148,Rural,0.155,0.008,0.535,100.0,20.4
Virginia,Lunenburg,27.76929,Rural,0.195,0.512,0.2,100.0,38.9
North Dakota,Traill,9.286773,Rural,0.349,0.443,0.115,100.0,14.0
Georgia,Hall,521.5165,Not rural,0.315,0.668,0.002,93.8,12.6
Georgia,Treutlen,32.14644,Rural,0.164,0.8,0.0,100.0,25.1
Georgia,Calhoun,19.9512,Rural,0.138,0.859,0.0,100.0,26.9
Wisconsin,Vilas,26.9858,Rural,0.846,0.092,0.004,100.0,19.2
Minnesota,Beltrami,18.47529,Rural,0.584,0.301,0.024,100.0,17.4
Maryland,Dorchester,60.2055,Rural,0.228,0.548,0.168,100.0,18.8
Pennsylvania,Columbia,134.3566,Rural,0.301,0.32,0.274,100.0,16.4
Ohio,Clark,343.2285,Not rural,0.764,0.182,0.033,72.8,12.5
Texas,Maverick,45.17953,Not rural,0.084,0.9,0.0,99.2,34.1
Arizona,Pima,113.4431,Not rural,0.539,0.437,0.0,82.9,11.0
New Mexico,Cibola,5.993633,Rural,0.615,0.103,0.002,100.0,39.4
New Jersey,Burlington,577.833,Not rural,0.721,0.187,0.076,69.8,7.8
Vermont,Rutland,65.10664,Rural,0.18,0.05,0.633,100.0,14.9
Georgia,Early,20.97739,Rural,0.143,0.845,0.005,100.0,43.8
Massachusetts,Dukes,199.0554,Rural,0.387,0.176,0.332,100.0,15.5
North Dakota,McHenry,2.842137,Rural,0.462,0.38,0.094,100.0,14.9
Nebraska,Wayne,21.90257,Rural,0.641,0.247,0.084,100.0,9.9
North Dakota,LaMoure,3.608186,Rural,0.316,0.498,0.15,100.0,21.4
Idaho,Butte,1.164773,Rural,0.144,0.446,0.045,100.0,14.5
New Hampshire,Coos,17.51391,Rural,0.128,0.038,0.629,100.0,17.2
North Dakota,Kidder,1.769719,Rural,0.617,0.284,0.04,100.0,21.0
Texas,Kleberg,35.0162,Not rural,0.205,0.779,0.0,92.6,21.8
Indiana,Porter,414.6128,Not rural,0.889,0.098,0.002,69.9,11.9
Mississippi,Newton,36.8226,Rural,0.302,0.674,0.0,100.0,27.3
North Carolina,Sampson,62.70762,Rural,0.186,0.786,0.01,100.0,29.2
Tennessee,Moore,50.74965,Rural,0.251,0.709,0.003,100.0,27.2
Florida,Pinellas,3506.161,Not rural,0.049,0.928,0.001,70.6,14.1
Illinois,Hamilton,18.42413,Rural,0.786,0.168,0.0,100.0,21.7
Arkansas,Perry,18.23752,Rural,0.283,0.648,0.003,100.0,26.3
Kansas,Cheyenne,2.567925,Rural,0.85,0.13,0.0,100.0,12.2
Colorado,Delta,27.29385,Rural,0.652,0.174,0.002,100.0,20.9
Iowa,Wayne,12.33946,Rural,0.633,0.281,0.003,100.0,28.8
Texas,Gaines,14.3261,Rural,0.283,0.708,0.003,100.0,17.5
Alabama,Marion,39.33894,Rural,0.438,0.543,0.001,100.0,26.1
North Carolina,Watauga,174.5617,Rural,0.238,0.541,0.165,100.0,13.9
Virginia,Roanoke,2333.259,Not rural,0.471,0.468,0.051,74.6,20.9
Texas,Martin,5.713937,Rural,0.383,0.556,0.0,100.0,29.2
Texas,Bowie,104.8061,Not rural,0.389,0.598,0.001,92.4,22.1
Utah,Weber,430.3463,Not rural,0.854,0.135,0.0,59.5,9.3
Missouri,Marion,65.28622,Rural,0.67,0.304,0.001,100.0,15.5
New York,Jefferson,92.62838,Not rural,0.564,0.216,0.14,91.5,12.8
Iowa,Jackson,30.6112,Rural,0.819,0.106,0.019,100.0,17.6
North Dakota,Nelson,3.081028,Rural,0.372,0.499,0.104,100.0,24.1
New York,Clinton,76.93463,Rural,0.213,0.318,0.391,100.0,15.8
Colorado,Garfield,20.92775,Rural,0.719,0.219,0.0,100.0,10.8
Missouri,Ray,40.63752,Rural,0.649,0.295,0.002,100.0,17.4
Ohio,Hocking,66.69999,Rural,0.496,0.384,0.037,100.0,19.8
Alabama,Lowndes,14.17848,Rural,0.365,0.622,0.0,100.0,41.6
Georgia,Candler,45.03427,Rural,0.07,0.913,0.008,100.0,34.1
Iowa,Linn,319.8112,Not rural,0.799,0.185,0.002,63.4,11.3
California,Trinity,4.997692,Rural,0.179,0.296,0.079,100.0,27.0
Georgia,Muscogee,944.9066,Not rural,0.434,0.555,0.001,82.3,17.6
Mississippi,Tallahatchie,19.54957,Rural,0.639,0.309,0.0,100.0,41.5
Kansas,Atchison,37.8246,Rural,0.744,0.212,0.002,100.0,19.1
Texas,Andrews,12.23545,Rural,0.269,0.715,0.002,100.0,8.5
Ohio,Miami,267.6415,Not rural,0.666,0.269,0.033,70.9,11.8
Texas,Potter,129.7956,Not rural,0.643,0.351,0.001,85.2,23.3
Oklahoma,Seminole,37.28085,Rural,0.491,0.479,0.001,100.0,32.5
South Carolina,Aiken,158.6503,Not rural,0.352,0.629,0.002,80.6,17.2
California,Mendocino,25.99088,Rural,0.508,0.214,0.038,100.0,15.1
Virginia,Chesapeake,736.8068,Not rural,0.447,0.526,0.017,69.5,7.7
Wyoming,Sweetwater,4.035588,Not rural,0.819,0.16,0.003,79.9,12.6
Texas,Garza,6.419181,Rural,0.504,0.46,0.01,100.0,16.1
West Virginia,Hardy,24.46955,Rural,0.205,0.428,0.081,100.0,16.0
Wisconsin,Ozaukee,393.7371,Not rural,0.796,0.17,0.017,61.1,7.8
Tennessee,Sullivan,383.8096,Not rural,0.121,0.853,0.004,73.1,15.6
South Carolina,Laurens,94.62582,Rural,0.333,0.636,0.009,100.0,22.4
Wyoming,Crook,2.54267,Rural,0.52,0.348,0.0,100.0,20.0
Wisconsin,Sheboygan,230.1791,Not rural,0.825,0.132,0.013,84.4,11.3
Massachusetts,Hampden,752.952,Not rural,0.532,0.196,0.235,74.6,16.4
Texas,Caldwell,84.73372,Not rural,0.248,0.738,0.001,98.2,25.9
Kansas,Cloud,12.59258,Rural,0.832,0.13,0.013,100.0,21.0
California,Inyo,1.846476,Rural,0.36,0.19,0.077,100.0,16.1
Alabama,Coosa,15.86857,Rural,0.25,0.69,0.0,100.0,26.3
Iowa,Dickinson,46.49275,Rural,0.739,0.242,0.001,100.0,13.4
Kentucky,Harlan,57.07879,Rural,0.069,0.863,0.01,100.0,27.0
Kansas,Geary,94.23333,Not rural,0.579,0.4,0.001,82.8,11.4
Pennsylvania,Berks,500.329,Not rural,0.477,0.229,0.245,81.2,12.2
Tennessee,Carter,165.0216,Not rural,0.162,0.75,0.037,79.4,28.9
Minnesota,Lyon,35.48659,Rural,0.6,0.345,0.017,100.0,13.4
Virginia,Charlotte,24.32801,Rural,0.219,0.528,0.128,100.0,36.7
Tennessee,Washington,408.1541,Not rural,0.165,0.811,0.006,70.7,14.2
South Carolina,Newberry,60.1581,Rural,0.312,0.651,0.015,100.0,27.0
Virginia,Isle of Wight,123.2176,Not rural,0.318,0.629,0.03,95.8,16.4
Oregon,Wheeler,0.8199198,Rural,0.104,0.365,0.107,100.0,20.5
Missouri,Butler,60.85585,Rural,0.275,0.694,0.0,100.0,22.5
Louisiana,Iberville,48.82665,Not rural,0.41,0.567,0.0,95.5,18.3
Mississippi,Sharkey,9.056796,Rural,0.59,0.388,0.003,100.0,26.3
Virginia,Fauquier,113.1029,Not rural,0.356,0.507,0.078,84.3,8.7
Virginia,Radford,1692.677,Rural,0.269,0.697,0.028,100.0,17.1
Nevada,Douglas,69.63181,Not rural,0.802,0.121,0.008,97.3,8.4
Florida,Franklin,22.52483,Rural,0.089,0.892,0.001,100.0,17.7
Indiana,Greene,56.96195,Rural,0.586,0.325,0.008,100.0,23.7
Indiana,Rush,40.95686,Rural,0.632,0.281,0.018,100.0,29.6
Wisconsin,Washington,317.7615,Not rural,0.769,0.185,0.018,78.3,9.0
Missouri,Laclede,47.16027,Rural,0.307,0.606,0.007,100.0,22.0
Pennsylvania,Mercer,164.4518,Not rural,0.67,0.182,0.089,88.3,17.7
Arkansas,Craighead,157.0191,Not rural,0.415,0.572,0.001,76.6,14.4
Missouri,Saline,30.73288,Rural,0.705,0.271,0.003,100.0,14.8
Illinois,White,27.94845,Rural,0.777,0.181,0.001,100.0,19.0
Illinois,De Witt,39.07576,Rural,0.851,0.139,0.0,100.0,16.2
Nevada,White Pine,1.012416,Rural,0.12,0.688,0.022,100.0,16.3
Minnesota,Goodhue,63.0318,Rural,0.773,0.169,0.014,100.0,12.3
North Carolina,Swain,26.77513,Rural,0.242,0.62,0.059,100.0,34.8
Florida,Pasco,762.4006,Not rural,0.06,0.918,0.001,73.3,13.9
Florida,Sumter,236.6223,Not rural,0.238,0.75,0.001,96.1,12.9
New York,Nassau,4882.089,Not rural,0.633,0.063,0.291,70.2,6.8
North Dakota,Steele,2.491073,Rural,0.38,0.376,0.11,100.0,16.9
Indiana,Vanderburgh,770.7758,Not rural,0.616,0.375,0.001,66.0,14.7
Missouri,Franklin,113.6452,Rural,0.27,0.657,0.011,100.0,15.0
North Carolina,Avery,71.47713,Rural,0.211,0.422,0.244,100.0,25.4
West Virginia,Wood,229.9375,Not rural,0.752,0.22,0.002,88.7,14.2
Wisconsin,Bayfield,10.97111,Rural,0.728,0.104,0.016,100.0,14.1
Tennessee,Stewart,29.84931,Rural,0.243,0.714,0.0,100.0,23.1
Wisconsin,Portage,87.75542,Not rural,0.748,0.172,0.014,83.2,9.7
South Carolina,Lexington,423.3651,Not rural,0.276,0.706,0.004,74.7,13.4
Maryland,Anne Arundel,1417.791,Not rural,0.401,0.491,0.089,66.7,6.7
Wisconsin,Fond du Lac,144.5691,Not rural,0.779,0.148,0.03,82.2,13.4
West Virginia,Webster,15.10833,Rural,0.29,0.426,0.032,100.0,28.3
Wisconsin,Kewaunee,60.06646,Rural,0.807,0.074,0.044,100.0,15.3
Texas,Parmer,11.13619,Rural,0.657,0.311,0.0,100.0,31.3
Oklahoma,Woods,6.732316,Rural,0.681,0.301,0.0,100.0,15.4
Kentucky,Elliott,31.48673,Rural,0.302,0.488,0.0,100.0,25.0
Massachusetts,Berkshire,138.9218,Not rural,0.524,0.098,0.315,88.3,12.4
Missouri,Chariton,9.873825,Rural,0.514,0.402,0.0,100.0,18.8
Colorado,Rio Blanco,2.021441,Rural,0.727,0.177,0.002,100.0,13.8
Colorado,Morgan,22.68281,Rural,0.672,0.304,0.002,100.0,13.9
Oregon,Malheur,3.189616,Rural,0.323,0.56,0.033,100.0,21.4
New Jersey,Middlesex,2781.421,Not rural,0.806,0.145,0.037,80.5,10.9
Kansas,Russell,7.562115,Rural,0.838,0.142,0.002,100.0,20.1
Illinois,Putnam,35.15369,Rural,0.786,0.141,0.009,100.0,14.7
South Dakota,Haakon,0.9693234,Rural,0.664,0.24,0.016,100.0,33.1
Tennessee,Macon,82.58351,Rural,0.229,0.724,0.002,100.0,21.7
Arkansas,Cleburne,45.03581,Rural,0.376,0.58,0.0,100.0,19.2
Alabama,Pike,49.09779,Rural,0.202,0.78,0.002,100.0,26.9
Idaho,Adams,3.275597,Rural,0.14,0.369,0.112,100.0,19.1
Massachusetts,Bristol,1042.647,Not rural,0.615,0.117,0.24,64.0,13.3
Pennsylvania,Schuylkill,183.9261,Not rural,0.125,0.249,0.477,99.9,16.7
North Dakota,Wells,3.140414,Rural,0.499,0.411,0.054,100.0,15.4
North Carolina,Cleveland,214.3826,Not rural,0.237,0.717,0.023,91.9,28.0
Arkansas,Hot Spring,53.87321,Rural,0.374,0.553,0.001,100.0,28.8
Maryland,Frederick,414.5119,Not rural,0.366,0.498,0.102,74.6,8.6
Illinois,Schuyler,15.73061,Rural,0.659,0.293,0.0,100.0,13.0
California,Mono,4.335656,Rural,0.373,0.172,0.032,100.0,17.0
California,Tuolumne,24.76146,Rural,0.487,0.218,0.011,100.0,14.4
New Mexico,Doña Ana,57.7361,Not rural,0.646,0.325,0.002,92.7,22.9
Georgia,Crisp,74.2812,Rural,0.092,0.9,0.001,100.0,34.1
Arkansas,Columbia,29.64109,Rural,0.405,0.578,0.005,100.0,30.6
North Dakota,Griggs,3.258146,Rural,0.278,0.464,0.146,100.0,18.6
California,Solano,548.8318,Not rural,0.669,0.287,0.001,84.4,7.1
Iowa,Clayton,21.99593,Rural,0.769,0.151,0.011,100.0,22.6
Texas,Titus,77.03895,Rural,0.247,0.741,0.001,100.0,23.4
West Virginia,Hampshire,36.34436,Rural,0.143,0.5,0.118,100.0,20.8
North Carolina,Moore,144.4338,Rural,0.139,0.818,0.02,100.0,13.6
Kansas,Barton,28.45774,Rural,0.789,0.196,0.0,100.0,18.2
North Dakota,Slope,0.688739,Rural,0.712,0.217,0.009,100.0,15.6
Louisiana,Richland,36.04666,Rural,0.27,0.701,0.001,100.0,50.2
Nebraska,Garfield,3.219573,Rural,0.517,0.364,0.013,100.0,32.4
Louisiana,St. Martin,70.31607,Not rural,0.162,0.835,0.0,99.9,17.4
Alabama,Sumter,13.49375,Rural,0.289,0.658,0.011,100.0,30.9
Alabama,Winston,38.58903,Rural,0.317,0.626,0.0,100.0,27.6
Florida,Seminole,1523.44,Not rural,0.057,0.925,0.001,71.8,7.7
Mississippi,Forrest,167.1888,Not rural,0.3,0.686,0.003,91.2,21.7
Michigan,Ingham,508.0884,Not rural,0.782,0.181,0.01,73.6,14.3
Kansas,Shawnee,328.3392,Not rural,0.757,0.228,0.001,72.1,23.7
South Dakota,Hanson,7.92255,Rural,0.613,0.298,0.064,100.0,6.7
Minnesota,Itasca,16.89023,Rural,0.65,0.171,0.074,100.0,15.5
Colorado,Lincoln,2.165859,Rural,0.784,0.172,0.001,100.0,14.5
New York,Madison,103.8711,Not rural,0.555,0.143,0.206,99.8,15.1
New York,Washington,73.76168,Rural,0.373,0.115,0.397,100.0,16.5
Indiana,Johnson,505.4447,Not rural,0.663,0.324,0.001,60.1,9.9
Texas,Terry,13.29357,Rural,0.589,0.408,0.0,100.0,23.7
New Mexico,Harding,0.3156936,Rural,0.634,0.119,0.0,100.0,38.3
Alabama,Talladega,110.0748,Not rural,0.333,0.644,0.004,97.8,21.0
Wisconsin,Langlade,22.4096,Rural,0.778,0.1,0.019,100.0,19.3
Texas,Foard,1.526129,Rural,0.522,0.478,0.0,100.0,26.4
Iowa,Buena Vista,35.9837,Rural,0.676,0.312,0.004,100.0,10.2
Iowa,Mills,33.38814,Rural,0.76,0.213,0.003,100.0,10.9
Texas,Real,4.047721,Rural,0.11,0.807,0.0,100.0,35.4
Ohio,Delaware,487.5906,Not rural,0.749,0.227,0.015,60.8,4.6
North Carolina,Forsyth,940.9203,Not rural,0.317,0.627,0.044,75.9,15.3
Nevada,Carson City,403.0124,Not rural,0.782,0.182,0.005,73.4,14.3
Iowa,Dallas,170.606,Not rural,0.667,0.323,0.001,67.2,7.0
Texas,Carson,6.303826,Rural,0.692,0.272,0.025,100.0,18.9
Georgia,Sumter,60.83948,Rural,0.151,0.838,0.0,100.0,28.5
Missouri,Wayne,14.59591,Rural,0.389,0.469,0.0,100.0,25.4
South Carolina,Anderson,286.6015,Not rural,0.335,0.642,0.005,88.8,18.2
Wyoming,Carbon,1.849755,Rural,0.727,0.188,0.003,100.0,15.3
Montana,Silver Bow,49.17384,Not rural,0.712,0.222,0.005,61.5,19.4
Illinois,Stephenson,78.83432,Not rural,0.826,0.137,0.009,83.6,15.1
Michigan,Lapeer,137.0778,Not rural,0.821,0.086,0.022,99.9,14.5
Louisiana,Claiborne,18.81704,Rural,0.51,0.469,0.002,100.0,46.8
Mississippi,Yalobusha,26.75582,Rural,0.489,0.481,0.0,100.0,41.4
Michigan,Kalkaska,32.03967,Rural,0.716,0.077,0.009,100.0,21.4
Louisiana,Evangeline,48.81266,Rural,0.287,0.695,0.002,100.0,24.8
Tennessee,Hardeman,38.2154,Rural,0.541,0.432,0.0,100.0,30.7
Arizona,Cochise,20.21078,Not rural,0.636,0.33,0.0,91.8,15.2
New Mexico,Hidalgo,1.209818,Rural,0.453,0.496,0.0,100.0,19.8
North Dakota,Divide,1.740503,Rural,0.42,0.525,0.023,100.0,33.5
California,San Bernardino,108.6578,Not rural,0.749,0.207,0.001,89.8,13.0
Colorado,Montezuma,12.84648,Rural,0.725,0.136,0.01,100.0,26.8
Mississippi,Clarke,22.48922,Rural,0.313,0.673,0.001,100.0,29.7
Iowa,Marion,60.3924,Rural,0.806,0.169,0.001,100.0,15.2
Nebraska,Douglas,1784.984,Not rural,0.752,0.237,0.001,64.2,11.1
Virginia,Fairfax,3884.359,Not rural,0.575,0.358,0.05,76.7,3.0
Oklahoma,Harmon,4.651396,Rural,0.704,0.281,0.0,100.0,19.5
Missouri,Cedar,30.16842,Rural,0.498,0.351,0.004,100.0,20.3
Georgia,Clarke,1080.168,Not rural,0.298,0.69,0.002,72.8,15.4
Idaho,Valley,3.227726,Rural,0.242,0.439,0.023,100.0,15.2
Texas,Knox,3.918313,Rural,0.655,0.343,0.002,100.0,16.1
Arkansas,Ouachita,30.85211,Rural,0.553,0.391,0.0,100.0,27.4
Ohio,Darke,86.52534,Rural,0.563,0.333,0.039,100.0,15.3
Oklahoma,Kay,47.69304,Not rural,0.73,0.229,0.014,84.2,26.1
South Dakota,Dewey,2.291111,Rural,0.721,0.201,0.067,100.0,37.1
Oregon,Tillamook,24.78737,Rural,0.059,0.778,0.008,100.0,14.5
Georgia,Coweta,334.298,Not rural,0.483,0.495,0.002,77.8,11.7
Mississippi,Simpson,43.94183,Rural,0.405,0.576,0.001,100.0,36.7
Mississippi,Stone,41.21354,Rural,0.173,0.794,0.002,100.0,25.1
California,Contra Costa,1621.78,Not rural,0.691,0.273,0.001,79.9,6.2
Tennessee,Carroll,47.48706,Rural,0.509,0.461,0.003,100.0,23.8
Virginia,Henrico,1425.419,Not rural,0.367,0.588,0.035,74.7,10.4
Indiana,Owen,55.44066,Rural,0.503,0.355,0.002,100.0,22.4
New York,Westchester,2316.304,Not rural,0.536,0.119,0.322,74.7,10.2
Missouri,Bollinger,17.24863,Rural,0.435,0.361,0.006,100.0,20.5
West Virginia,McDowell,35.44987,Rural,0.14,0.684,0.05,100.0,32.4
West Virginia,Harrison,158.319,Rural,0.805,0.17,0.001,100.0,15.4
North Carolina,Granville,114.9662,Not rural,0.337,0.624,0.013,99.2,18.0
Nebraska,Pierce,12.73618,Rural,0.668,0.273,0.003,100.0,12.4
Georgia,Bleckley,57.5,Rural,0.256,0.736,0.0,100.0,25.3
Georgia,Burke,29.42663,Rural,0.208,0.778,0.0,100.0,23.0
Illinois,Union,41.41634,Rural,0.509,0.444,0.001,100.0,30.5
Illinois,Kankakee,158.7917,Not rural,0.851,0.138,0.002,95.5,17.2
North Dakota,McIntosh,2.595009,Rural,0.362,0.391,0.213,100.0,23.7
Nebraska,Platte,50.76628,Not rural,0.36,0.621,0.002,74.2,15.2
North Carolina,Warren,43.78993,Rural,0.233,0.689,0.039,100.0,38.1
Georgia,Marion,20.52929,Rural,0.197,0.797,0.0,100.0,41.1
South Dakota,Clay,36.29099,Rural,0.635,0.336,0.012,100.0,8.1
Delaware,Sussex,257.084,Rural,0.374,0.512,0.084,100.0,16.4
Georgia,Jasper,40.39563,Rural,0.266,0.714,0.0,100.0,21.3
Missouri,Randolph,51.06969,Rural,0.462,0.491,0.0,100.0,16.8
Kansas,Butler,47.29471,Not rural,0.68,0.286,0.0,92.6,12.7
Texas,Hays,362.4883,Not rural,0.341,0.65,0.0,85.3,13.3
Texas,Medina,38.80604,Rural,0.264,0.729,0.0,100.0,20.4
Michigan,Mason,58.94917,Rural,0.762,0.112,0.01,100.0,18.2
South Carolina,Beaufort,328.223,Not rural,0.177,0.814,0.001,90.1,15.3
South Dakota,Yankton,44.72657,Rural,0.691,0.275,0.009,100.0,18.9
Wisconsin,Rock,228.1042,Not rural,0.781,0.182,0.012,73.9,15.4
South Carolina,Pickens,263.8275,Not rural,0.363,0.597,0.015,73.6,16.3
Washington,Columbia,4.582165,Rural,0.046,0.725,0.086,100.0,13.8
Indiana,Clinton,81.51733,Rural,0.743,0.226,0.005,100.0,20.4
Illinois,Clinton,78.06452,Rural,0.713,0.253,0.001,100.0,15.8
Idaho,Minidoka,28.56818,Rural,0.208,0.732,0.017,100.0,15.3
Pennsylvania,Sullivan,13.06842,Rural,0.117,0.149,0.464,100.0,22.7
Mississippi,Rankin,202.6895,Not rural,0.506,0.484,0.0,77.8,13.4
Texas,Motley,1.235895,Rural,0.465,0.489,0.0,100.0,33.3
Oregon,Lane,83.92847,Not rural,0.187,0.746,0.004,74.5,11.2
Texas,Wichita,206.4776,Not rural,0.457,0.529,0.001,78.4,17.4
