state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
Wisconsin,Pierce,73.49417,Rural,0.731,0.179,0.018,100.0,11.1
Georgia,Charlton,16.08411,Rural,0.131,0.86,0.0,100.0,30.3
Georgia,Polk,138.6192,Rural,0.382,0.592,0.002,100.0,20.0
Illinois,McLean,144.7575,Not rural,0.759,0.23,0.0,67.5,14.1
Maine,Androscoggin,238.3396,Not rural,0.218,0.062,0.628,76.6,13.3
Idaho,Kootenai,140.0862,Not rural,0.559,0.361,0.008,70.3,10.8
Nevada,Clark,287.1292,Not rural,0.602,0.381,0.001,83.0,14.3
Kansas,Phillips,5.599009,Rural,0.814,0.152,0.003,100.0,15.1
Nebraska,Holt,4.207267,Rural,0.55,0.399,0.002,100.0,18.4
Missouri,Johnson,65.14837,Not rural,0.467,0.498,0.0,83.2,9.9
Wisconsin,La Crosse,266.0779,Not rural,0.682,0.274,0.017,62.8,10.4
Louisiana,Caldwell,18.23055,Rural,0.217,0.753,0.017,100.0,31.3
Kentucky,Edmonson,40.22048,Rural,0.11,0.806,0.0,100.0,19.0
Illinois,Bond,44.03996,Rural,0.668,0.29,0.003,100.0,17.9
Illinois,Brown,20.71785,Rural,0.654,0.311,0.0,100.0,18.1
Minnesota,McLeod,74.7228,Rural,0.761,0.179,0.022,100.0,11.2
Wisconsin,Dunn,53.1912,Rural,0.684,0.208,0.022,100.0,13.7
Colorado,Custer,6.613633,Rural,0.623,0.155,0.0,100.0,10.4
Missouri,Madison,25.58529,Rural,0.272,0.577,0.004,100.0,22.9
Texas,Nolan,16.07132,Rural,0.454,0.534,0.0,100.0,22.8
Pennsylvania,Wayne,70.58302,Not rural,0.285,0.247,0.311,99.6,15.7
New York,Saratoga,291.7738,Not rural,0.691,0.137,0.131,78.7,7.4
Texas,Brazos,400.1582,Not rural,0.365,0.627,0.0,76.7,15.4
Oklahoma,Marshall,41.70774,Rural,0.244,0.722,0.002,100.0,35.3
Maryland,Allegany,161.4429,Rural,0.539,0.279,0.103,100.0,17.6
West Virginia,Wetzel,40.30252,Rural,0.782,0.152,0.005,100.0,23.1
Wisconsin,Jackson,21.21438,Rural,0.692,0.151,0.028,100.0,19.5
Oregon,Clatsop,49.74009,Rural,0.489,0.403,0.028,100.0,12.5
Washington,Lewis,34.40305,Rural,0.119,0.75,0.005,100.0,15.1
New York,Allegany,45.87175,Rural,0.642,0.131,0.067,100.0,21.0
Iowa,Cedar,31.88994,Rural,0.848,0.12,0.004,100.0,12.7
Indiana,Orange,49.62114,Rural,0.57,0.324,0.01,100.0,25.9
Georgia,DeKalb,2844.187,Not rural,0.627,0.368,0.001,83.2,13.5
Georgia,Pickens,144.0967,Rural,0.5,0.464,0.01,100.0,10.4
Montana,Chouteau,1.484448,Rural,0.767,0.11,0.024,100.0,25.1
Nebraska,Brown,2.203202,Rural,0.624,0.339,0.0,100.0,15.5
Tennessee,Campbell,82.04468,Rural,0.364,0.588,0.01,100.0,31.3
North Carolina,Franklin,141.683,Not rural,0.264,0.706,0.01,96.9,18.1
Maryland,Baltimore,7221.451,Not rural,0.645,0.307,0.033,85.1,21.4
Kansas,Lyon,37.97384,Not rural,0.682,0.29,0.001,79.8,12.6
Iowa,Carroll,36.39983,Rural,0.705,0.269,0.01,100.0,14.7
